item_name,correct,freq,wordclass,image,testCat,set_number
house,0,2.65,1,0.36,0,2
car,1,0.1,1,4.06,1,1
yellow ,0,2.03,6,3.8,2,1
red,1,2.82,5,4.06,0,1
bla,1,1.84,6,4.15,1,2
test,1,2.66,7,3.96,2,1
foo,0,0.66,7,1.6,0,1
bar,0,1.33,7,1.11,1,1
foobar,1,1.09,7,0.16,2,1
green,1,3.4,2,4.49,0,2
eat,0,4.22,6,2.03,1,2
sleep,0,3.65,4,2.88,2,2
drink,0,0.65,7,0.94,0,2
sing,0,2.24,7,3.52,1,1
table,1,2.88,6,2.03,2,2
chair,0,3.63,5,3.39,0,1
purple,1,2.37,4,3.2,1,1
he,1,1.84,6,4.41,2,1
she,1,2.74,5,0.61,0,1
it,0,1.7,7,2.96,0,1
we,0,4.0,7,0.61,1,1
you,2,0.38,2,3.79,2,2
they,2,2.41,5,1.97,0,2
us,2,3.52,7,4.22,0,2
before,2,0.69,4,2.64,1,2
after,2,0.92,5,3.03,2,1
behind,2,1.61,3,2.56,0,2
yesterday,2,0.81,7,4.33,0,2
tomorrow,2,4.07,5,1.18,1,2
seat,1,1.83,6,1.07,0,2
sofa,1,2.78,5,0.73,0,1
desk,0,0.16,6,0.98,1,2
dance,0,2.34,5,1.69,2,2
yell,1,4.24,2,1.5,0,1
learn,0,4.11,7,4.1,1,2
teach,0,0.7,3,2.32,2,1
ab1,0,3.63,5,3.39,0,2
ab2,1,2.37,4,3.2,1,2
ab3,1,1.84,6,4.41,2,2
ab4,1,2.74,5,0.61,0,2
ab5,0,1.7,7,2.96,0,2
ab6,0,4.0,7,0.61,1,2
ab7,2,0.38,2,3.79,2,2
ab8,2,2.41,5,1.97,0,1
ab9,2,3.52,7,4.22,0,1
ab10,2,0.69,4,2.64,1,1
ab11,2,0.92,5,3.03,2,1
ab12,2,1.61,3,2.56,0,1
ab13,2,0.81,7,4.33,0,1
ab14,2,4.07,5,1.18,1,1
ab15,1,1.83,6,1.07,0,1
ab16,1,2.78,5,0.73,0,2
ab17,0,0.16,6,0.98,1,1
ab18,0,2.34,5,1.69,2,1
ab19,1,4.24,2,1.5,0,2
ab20,0,4.11,7,4.1,1,1
ab21,0,0.7,3,2.32,2,2
